Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.96240e+02,-0.48,0.08,-0.12,1.08
-4.96230e+02,-0.64,0.16,0.52,1
-4.96220e+02,-0.24,-0.16,-0.28,0.04
-4.96210e+02,-0.48,0.4,0.6,0.76
-4.96200e+02,-0.24,0.32,0.36,0.36
-4.96190e+02,-0.32,-0.08,0.44,0.44
-4.96180e+02,-0.16,-7.36,1.16,0.6
-4.96170e+02,-0.4,-4.4,1.08,0.92
-4.96160e+02,-0.96,inf,0.44,0.68
-4.96150e+02,-0.8,inf,0.52,0.84
-4.96140e+02,-0.48,-2.08,0.2,0.84
-4.96130e+02,-0.32,-5.52,-0.68,0.04
-4.96120e+02,0.64,-1.6,-0.28,-0.04
-4.96110e+02,1.04,-0.64,-0.04,0.2
-4.96100e+02,0.96,0.48,-0.04,-0.12
-4.96090e+02,-0.08,0.56,0.12,0.6
-4.96080e+02,-0.72,0.32,0.6,1.08
-4.96070e+02,-0.88,0,0.12,1.64
-4.96060e+02,-1.36,-0.24,-0.2,1.56
-4.96050e+02,-0.08,-0.4,-0.28,0.76
-4.96040e+02,0.08,0.08,-0.28,0.12
-4.96030e+02,0,-0.08,-0.44,-0.12
-4.96020e+02,0.32,-0.32,-0.52,-0.36
-4.96010e+02,0.88,-0.16,-1.16,-0.12
-4.96000e+02,0.88,-0.24,-0.6,-0.36
-4.95990e+02,0.56,-0.08,-0.36,-0.12
-4.95980e+02,-0.16,0.16,-0.12,0.68
-4.95970e+02,0.48,0.48,-0.6,1
-4.95960e+02,0.16,-0.24,-0.76,1
-4.95950e+02,-0.24,0.16,-0.6,1.16
